iter	Passed	Remaining
839	5264	1002
840	5270	996
841	5279	990
842	5284	984
843	5290	977
844	5295	971
845	5300	964
846	5306	958
847	5312	952
848	5317	945
849	5323	939
850	5332	933
851	5337	927
852	5348	921
853	5355	915
854	5369	910
855	5374	904
856	5380	897
857	5385	891
858	5391	884
859	5396	878
860	5402	872
861	5407	865
862	5413	859
863	5419	853
864	5424	846
865	5432	840
866	5439	834
867	5446	828
868	5452	821
869	5458	815
870	5463	809
871	5468	802
872	5476	796
873	5482	790
874	5487	783
875	5493	777
876	5501	771
877	5507	765
878	5513	758
879	5519	752
880	5524	746
881	5529	739
882	5535	733
883	5540	727
884	5545	720
885	5550	714
886	5555	707
887	5561	701
888	5566	695
889	5572	688
890	5581	682
891	5586	676
892	5591	669
893	5596	663
894	5601	657
895	5606	650
896	5618	645
897	5624	638
898	5630	632
899	5635	626
900	5640	619
901	5645	613
902	5650	607
903	5656	600
904	5661	594
905	5666	587
906	5672	581
907	5677	575
908	5683	568
909	5688	562
910	5694	556
911	5699	549
912	5705	543
913	5710	537
914	5715	530
915	5720	524
916	5725	518
917	5731	511
918	5736	505
919	5745	499
920	5750	493
921	5756	486
922	5761	480
923	5767	474
924	5772	468
925	5777	461
926	5783	455
927	5788	449
928	5793	442
929	5798	436
930	5802	430
931	5807	423
932	5812	417
933	5817	411
934	5823	404
935	5828	398
936	5833	392
937	5838	385
938	5845	379
939	5849	373
940	5854	367
941	5859	360
942	5864	354
943	5874	348
944	5879	342
945	5884	335
946	5889	329
947	5894	323
948	5899	317
949	5904	310
950	5909	304
951	5914	298
952	5919	291
953	5924	285
954	5930	279
955	5935	273
956	5940	266
957	5945	260
958	5950	254
959	5956	248
960	5961	241
961	5966	235
962	5971	229
963	5977	223
964	5981	216
965	5986	210
966	5991	204
967	5997	198
968	6001	192
969	6006	185
970	6012	179
971	6017	173
972	6023	167
973	6028	160
974	6033	154
975	6038	148
976	6043	142
977	6049	136
978	6054	129
979	6059	123
980	6064	117
981	6068	111
982	6074	105
983	6079	98
984	6085	92
985	6091	86
986	6096	80
987	6101	74
988	6106	67
989	6111	61
990	6117	55
991	6124	49
992	6129	43
993	6134	37
994	6140	30
995	6145	24
996	6150	18
997	6157	12
998	6162	6
999	6167	0
